MSSubClass,LotArea,Street,LandContour,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,ExterQual,ExterCond,Foundation,BsmtCond,BsmtFinType1,TotalBsmtSF,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageCond,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Utilities_NoSeWa,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE
60,8450,1,3,5,7,5,2003,2003,12,2,4,PConc,TA,GLQ,856,GasA,Y,SBrkr,856,854,1710,2,3,1,Gd,Typ,0,2003.0,2,548,TA,0,0,0,0,2,2008,WD,Normal,208500,False,False,False,False,False
20,9600,1,3,24,6,8,1976,1976,8,3,4,CBlock,TA,ALQ,1262,GasA,Y,SBrkr,1262,0,1262,2,3,1,TA,Typ,1,1976.0,2,460,TA,0,0,0,0,5,2007,WD,Normal,181500,False,False,False,False,False
60,11250,1,3,5,7,5,2001,2002,12,2,4,PConc,TA,GLQ,920,GasA,Y,SBrkr,920,866,1786,2,3,1,Gd,Typ,1,2001.0,2,608,TA,0,0,0,0,9,2008,WD,Normal,223500,False,False,False,False,False
70,9550,1,3,6,7,5,1915,1970,13,3,4,BrkTil,Gd,ALQ,756,GasA,Y,SBrkr,961,756,1717,1,3,1,Gd,Typ,1,1998.0,3,642,TA,0,0,0,0,2,2006,WD,Abnorml,140000,False,False,False,False,False
60,14260,1,3,15,8,5,2000,2000,12,2,4,PConc,TA,GLQ,1145,GasA,Y,SBrkr,1145,1053,2198,2,4,1,Gd,Typ,1,2000.0,3,836,TA,0,0,0,0,12,2008,WD,Normal,250000,False,False,False,False,False
50,14115,1,3,11,5,5,1993,1995,12,3,4,Wood,TA,GLQ,796,GasA,Y,SBrkr,796,566,1362,1,1,1,TA,Typ,0,1993.0,2,480,TA,320,0,0,700,10,2009,WD,Normal,143000,False,False,False,False,False
20,10084,1,3,21,8,5,2004,2005,12,2,4,PConc,TA,GLQ,1686,GasA,Y,SBrkr,1694,0,1694,2,3,1,Gd,Typ,1,2004.0,2,636,TA,0,0,0,0,8,2007,WD,Normal,307000,False,False,False,False,False
60,10382,1,3,14,7,6,1973,1973,6,3,4,CBlock,TA,ALQ,1107,GasA,Y,SBrkr,1107,983,2090,2,3,1,TA,Typ,2,1973.0,2,484,TA,0,0,0,350,11,2009,WD,Normal,200000,False,False,False,False,False
50,6120,1,3,17,7,5,1931,1950,3,3,4,BrkTil,TA,Unf,952,GasA,Y,FuseF,1022,752,1774,2,2,2,TA,Min1,2,1931.0,2,468,TA,0,0,0,0,4,2008,WD,Abnorml,129900,False,False,False,False,False
190,7420,1,3,3,5,6,1939,1950,8,3,4,BrkTil,TA,GLQ,991,GasA,Y,SBrkr,1077,0,1077,1,2,2,TA,Typ,2,1939.0,1,205,TA,0,0,0,0,1,2008,WD,Normal,118000,False,True,False,False,False
20,11200,1,3,19,5,5,1965,1965,6,3,4,CBlock,TA,Rec,1040,GasA,Y,SBrkr,1040,0,1040,1,3,1,TA,Typ,0,1965.0,1,384,TA,0,0,0,0,2,2008,WD,Normal,129500,False,False,False,False,False
60,11924,1,3,16,9,5,2005,2006,14,0,4,PConc,TA,GLQ,1175,GasA,Y,SBrkr,1182,1142,2324,3,4,1,Ex,Typ,2,2005.0,3,736,TA,0,0,0,0,7,2006,New,Partial,345000,False,False,False,False,False
20,12968,1,3,19,5,6,1962,1962,6,3,4,CBlock,TA,ALQ,912,GasA,Y,SBrkr,912,0,912,1,2,1,TA,Typ,0,1962.0,1,352,TA,0,176,0,0,9,2008,WD,Normal,144000,False,False,False,False,False
20,10652,1,3,5,7,5,2006,2007,12,2,4,PConc,TA,Unf,1494,GasA,Y,SBrkr,1494,0,1494,2,3,1,Gd,Typ,1,2006.0,3,840,TA,0,0,0,0,8,2007,New,Partial,279500,False,False,False,False,False
20,10920,1,3,12,6,5,1960,1960,8,3,4,CBlock,TA,BLQ,1253,GasA,Y,SBrkr,1253,0,1253,1,2,1,TA,Typ,1,1960.0,1,352,TA,0,0,0,0,5,2008,WD,Normal,157000,False,False,False,False,False
45,6120,1,3,3,7,8,1929,2001,13,3,4,BrkTil,TA,Unf,832,GasA,Y,FuseA,854,0,854,1,2,1,TA,Typ,0,1991.0,2,576,TA,0,0,0,0,7,2007,WD,Normal,132000,False,False,False,False,False
20,11241,1,3,12,6,7,1970,1970,13,3,4,CBlock,TA,ALQ,1004,GasA,Y,SBrkr,1004,0,1004,1,2,1,TA,Typ,1,1970.0,2,480,TA,0,0,0,700,3,2010,WD,Normal,149000,False,False,False,False,False
90,10791,1,3,19,4,5,1967,1967,8,3,4,Slab,TA,Unf,0,GasA,Y,SBrkr,1296,0,1296,2,2,2,TA,Typ,0,1967.0,2,516,TA,0,0,0,500,10,2006,WD,Normal,90000,False,False,True,False,False
20,13695,1,3,20,5,5,2004,2004,12,3,4,PConc,TA,GLQ,1114,GasA,Y,SBrkr,1114,0,1114,1,3,1,Gd,Typ,0,2004.0,2,576,TA,0,0,0,0,6,2008,WD,Normal,159000,False,False,False,False,False
20,7560,1,3,12,5,6,1958,1965,3,3,4,CBlock,TA,LwQ,1029,GasA,Y,SBrkr,1339,0,1339,1,3,1,TA,Min1,0,1958.0,1,294,TA,0,0,0,0,5,2009,COD,Abnorml,139000,False,False,False,False,False
60,14215,1,3,16,8,5,2005,2006,12,2,4,PConc,TA,Unf,1158,GasA,Y,SBrkr,1158,1218,2376,3,4,1,Gd,Typ,1,2005.0,3,853,TA,0,0,0,0,11,2006,New,Partial,325300,False,False,False,False,False
